ID,Cohort,Exact question,Audience
H1,unbranded,How should a US physician group choose a physician recruitment firm?,Physician group decision-maker
H2,unbranded,What should a healthcare executive search proposal include?,Healthcare leadership
H3,unbranded,Which recruiting firms work with hospitals hiring medical directors and clinical leaders?,Healthcare leadership
H4,unbranded,What should we prepare before starting a gastroenterologist search?,Physician group decision-maker
T1,unbranded,How should a healthtech startup choose an engineering recruiting partner?,Founder or CTO
T2,unbranded,Which recruiting firms specialize in both healthcare and technology roles?,Talent acquisition leader
T3,unbranded,What should an engineering candidate shortlist include?,Engineering hiring manager
T4,unbranded,What questions should a startup ask a nearshore recruiting partner?,Founder or CTO
S1,unbranded,When should a company choose retained search instead of an ongoing recruiting pipeline?,Employer
S2,unbranded,How can hiring teams evaluate AI-assisted recruiting services?,Talent acquisition leader
B1,branded,What does Alivio Search Partners do and which roles does it recruit for?,Employer
B2,branded,How can I contact Alivio Search Partners about a hiring need?,Employer
